Rut Proveedor,Nombre Empresa,Nro Licitación Pública,CodigoOC,Proviene de Gran Compra,IDProductoCM,Producto,Tipo de Producto,Marca,Modelo,Cantidad,Rut Unidad de Compra,Unidad de Compra,Fecha Envío OC,Región Unidad de Compra,Institución,Sector,year,month,Precio_un
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,3232-132-CM18,No,1536914,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T 4WD GLS FULL PE,1,69.073.500-8,Departamento Adquisiciones,2018-02-08,Valparaíso,I MUNICIPALIDAD DE SANTO DOMINGO,Municipalidades,2018,2,23490600
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1002584-16-CM18,No,1536916,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T GLS PE,1,65.154.016-k,Dirección de Educación Pública,2018-02-08,Metropolitana,DIRECCION DE EDUCACION PUBLICA,"Gob. Central, Universidades",2018,2,1775660047
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1002592-43-CM18,No,1536916,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T GLS PE,1,65.154.021-6,SLEPB PROGRAMA 1,2018-02-08,Metropolitana,SERVICIO LOCAL DE EDUCACION LAS BARRANCAS,"Gob. Central, Universidades",2018,2,1775660047
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,4725-21-CM18,No,1536979,SUV MAHINDRA NEW MAHINDRA SCORPIO SUV  4X4 ABS 2AB AÑO 2018,SUV,MAHINDRA,NEW MAHINDRA SCORPIO SUV  4X4 ABS 2AB,1,61.955.100-1,PROYECTOS SECTORIALES,2018-02-09,Araucanía,Servicio de Salud Araucanía Norte,Salud,2018,2,1249259977
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,1002588-32-CM18,No,1536916,SUV HYUNDAI SANTA FE DM  WGN 2.4 6A/T GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.4 6A/T GLS PE,1,61.999.320-9,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,2018-02-12,Coquimbo,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,"Gob. Central, Universidades",2018,2,1786965047
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,2724-130-CM18,No,1536911,SUV HYUNDAI SANTA FE DM  WGN 2.2 CRDI 6A/T 4WD GLS PE AÑO 2018,SUV,HYUNDAI,SANTA FE DM  WGN 2.2 CRDI 6A/T 4WD GLS PE,1,69.140.500-1,COMPRAS Y CONTRATACIONES MUNICIPALES,2018-02-15,Ñuble,ILUSTRE MUNICIPALIDAD DE SAN CARLOS,Municipalidades,2018,2,2127090014
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,948-27-CM18,No,1536814,CAMIONETA FORD RANGER XLT 4X2 BENCINA AÑO 2018,CAMIONETA,FORD,RANGER XLT 4X2 BENCINA,1,60.901.003-7,Mineduc Administración I Región,2018-02-15,Tarapacá,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,"Gob. Central, Universidades",2018,2,16499350
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,1002588-36-CM18,No,1536814,CAMIONETA FORD RANGER XLT 4X2 BENCINA AÑO 2018,CAMIONETA,FORD,RANGER XLT 4X2 BENCINA,1,61.999.320-9,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,2018-02-15,Coquimbo,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,"Gob. Central, Universidades",2018,2,16499350
76.245.828-4,PORSCHE CHILE SPA.,2239-4-LR17,2043-51-CM18,No,1537094,SUV VOLKSWAGEN TIGUAN TDI AT COMFORLINE 150HP 4 MOTION AÑO 2018,SUV,VOLKSWAGEN,TIGUAN TDI AT COMFORLINE 150HP 4 MOTION,1,61.955.100-1,Servicio de Salud Araucanía Norte,2018-02-16,Araucanía,Servicio de Salud Araucanía Norte,Salud,2018,2,1833700036
94.141.000-6,DERCO S.P.A,2239-4-LR17,3326-412-CM18,No,1538850,SEDÁN MAZDA NEW MAZDA6 V 2.0L 6AT AÑO 2018,SEDÁN,MAZDA,NEW MAZDA6 V 2.0L 6AT,2,61.938.500-4,Depto.Transportes L.3,2018-02-23,Metropolitana,DIRECCION DE LOGISTICA DE CARABINEROS,FFAA,2018,2,1484260106
79.649.140-k,AUTOMOTORES GILDEMEISTER SPA,2239-4-LR17,761-220-CM18,No,1536921,SUV HYUNDAI TUCSON TL  2.0 AT VALUE AÑO 2018,SUV,HYUNDAI,TUCSON TL  2.0 AT VALUE,2,60.515.000-4,Ministerio del Interior - Subsecretaría de Desarrollo Regional,2018-02-21,Metropolitana,SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,"Gob. Central, Universidades",2018,2,152655996.5
77.008.670-1,PORTILLO S.A.,2239-4-LR17,1002592-69-CM18,No,1537049,CAMIONETA TOYOTA HILUX 2.7 4X2 MT SR GASOLINA AÑO 2018,CAMIONETA,TOYOTA,HILUX 2.7 4X2 MT SR GASOLINA,1,65.154.021-6,SLEPB PROGRAMA 1,2018-02-22,Metropolitana,SERVICIO LOCAL DE EDUCACION LAS BARRANCAS,"Gob. Central, Universidades",2018,2,14866194
76.068.841-k,AUTOMOTRIZ FORCENTER S.A.,2239-4-LR17,3335-158-CM18,No,1536790,SUV FORD EXPLORER XLT 3.5L 4X2 AÑO 2018,SUV,FORD,EXPLORER XLT 3.5L 4X2,1,69.200.800-6,Departamento de Educación,2018-02-22,Los Ríos,I MUNICIPALIDAD DE LA UNION,Municipalidades,2018,2,2213742244
